2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | ============================================================
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest |   🚀 STAGE: DATA INGESTION — ETL
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest |   ⏰ Time : 2026-05-25 15:23:51
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | ============================================================
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | 📥 EXTRACT — Reading CSV from disk...
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | ✅ Extracted 4024 rows, 16 columns
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest |    Columns: ['Age', 'Race', 'Marital Status', 'T Stage ', 'N Stage', '6th Stage', 'differentiate', 'Grade', 'A Stage', 'Tumor Size', 'Estrogen Status', 'Progesterone Status', 'Regional Node Examined', 'Reginol Node Positive', 'Survival Months', 'Status']
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | 🔄 TRANSFORM — Cleaning for raw load...
2026-05-25 15:23:51 | WARNING  | src.data_ingestion.ingest | ⚠️  Dropped 1 duplicate rows
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | ✅ No null values found
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | ✅ Transform complete — 4023 rows ready for load
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | 💾 LOAD — Pushing data to breast_cancer_raw...
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | ✅ Loaded 4023 rows into breast_cancer_raw
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | ✅ Verified — breast_cancer_raw has 4023 rows in DB
2026-05-25 15:23:51 | INFO     | src.data_ingestion.ingest | ✅ ETL PIPELINE COMPLETED SUCCESSFULLY 🎉
